省份,区域,状态,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24
广东,河源,确诊,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,4
广东,河源,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,河源,治愈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
广东,河源,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河南,河南,确诊,9,32,83,128,168,206,278,352,422,493,566,675,764,851,914,981,1033,1073,1105,1135,1169,1184,1212,1231,1246,1257,1262
河南,河南,疑似,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河南,河南,治愈,0,0,0,0,0,1,2,3,3,10,16,27,47,56,86,116,153,191,218,246,296,357,391,440,509,522,565
河南,河南,死亡,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,4,6,6,7,8,10,11,13,13,16,19,19
河南,信阳,确诊,1,5,22,23,29,32,42,49,70,88,99,112,138,164,176,192,205,220,228,231,240,243,252,261,262,266,268
河南,信阳,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河南,信阳,治愈,0,0,0,0,0,0,0,0,0,4,6,6,6,9,15,24,28,28,34,38,49,60,64,74,84,84,86
河南,信阳,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2
河南,郑州,确诊,3,6,20,29,37,40,46,50,56,65,72,85,92,102,112,120,126,130,132,137,141,142,144,148,151,154,156
河南,郑州,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河南,郑州,治愈,0,0,0,0,0,0,0,1,1,2,6,13,13,13,25,28,33,36,42,47,54,62,66,72,76,77,77
河南,郑州,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河南,南阳,确诊,0,8,15,19,26,31,51,61,66,62,84,99,107,111,118,128,133,134,136,138,145,146,150,151,154,155,155
河南,南阳,疑似,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河南,南阳,治愈,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,16,23,28,32,36,38,45,52,57,65,65,66
河南,南阳,死亡,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
河南,驻马店,确诊,0,2,7,9,10,16,25,30,40,46,58,72,82,98,106,113,116,123,126,128,134,137,138,138,138,139,139
河南,驻马店,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河南,驻马店,治愈,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,14,25,26,31,42,50,59,65,75,79,83
河南,驻马店,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河南,商丘,确诊,0,0,0,6,7,14,18,27,29,36,50,60,61,65,72,76,82,83,86,86,87,88,90,91,91,91,91
河南,商丘,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河南,商丘,治愈,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,9,9,14,14,25,25,30,30,46,46,46
河南,商丘,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3
河南,周口,确诊,1,4,5,11,15,19,25,36,38,40,47,52,56,59,60,62,62,65,65,66,68,69,70,71,75,76,76
河南,周口,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河南,周口,治愈,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10,10,11,16,17,20,20,25,25,29,32,32,32
河南,周口,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河南,平顶山,确诊,0,1,2,5,5,5,8,10,11,14,19,28,34,41,46,48,50,52,54,55,56,57,58,58,58,58,58
河南,平顶山,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河南,平顶山,治愈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,12,12,14,15,19,19,20,20,24,27,31
河南,平顶山,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
